"","Predictors","P_Values"
"1","(Intercept)",1.12663267370812e-296
"2","Speed_limit",0
"3","X1st_Road_Class_1",0.0771182226427485
"4","X1st_Road_Class_2",0.0586690906588205
"5","X1st_Road_Class_3",3.31893043941361e-209
"6","X1st_Road_Class_4",1.498517083123e-94
"7","X1st_Road_Class_5",1.05996971693608e-07
"8","Urban_or_Rural_Area_1",0.616744622179436
"9","Urban_or_Rural_Area_2",0.100540350337463
"10","Day_of_Week_1",3.54476055125542e-16
"11","Day_of_Week_2",2.7920566891988e-186
"12","Day_of_Week_3",3.65367764751455e-240
"13","Day_of_Week_4",1.4028825758349e-263
"14","Day_of_Week_5",6.73069385502313e-217
"15","Day_of_Week_6",3.8902774491847e-158
"16","Junction_Detail_0",0.000123794904060865
"17","Junction_Detail_1",5.51956548238955e-60
"18","Junction_Detail_2",0.581180183444958
"19","Junction_Detail_3",0.0331222466549481
"20","Junction_Detail_5",2.72896650070288e-05
"21","Junction_Detail_6",1.26692382920617e-60
"22","Junction_Detail_7",1.59990428620349e-14
"23","Junction_Detail_8",0.293039594715889
"24","Pedestrian_Crossing.Human_Control_0",0.082316103208147
"25","Pedestrian_Crossing.Human_Control_1",0.376986822365961
"26","Pedestrian_Crossing.Physical_Facilities_0",1.70826348420567e-20
"27","Pedestrian_Crossing.Physical_Facilities_1",4.55523009179053e-61
"28","Pedestrian_Crossing.Physical_Facilities_4",3.49386357475003e-20
"29","Pedestrian_Crossing.Physical_Facilities_5",6.06464296179834e-43
"30","Pedestrian_Crossing.Physical_Facilities_7",0.292053638698505
"31","Special_Conditions_at_Site_0",6.43873754286079e-21
"32","Special_Conditions_at_Site_1",3.99420765170451e-20
"33","Special_Conditions_at_Site_2",1.61499418211432e-11
"34","Special_Conditions_at_Site_3",1.23439459086481e-38
"35","Special_Conditions_at_Site_4",5.41156138064133e-15
"36","Special_Conditions_at_Site_5",8.32339337158792e-06
"37","Special_Conditions_at_Site_6",1.31554016769707e-23
"38","Carriageway_Hazards_0",2.19858887982239e-42
"39","Carriageway_Hazards_1",0.000166466790253057
"40","Carriageway_Hazards_2",5.74473486920164e-18
"41","Carriageway_Hazards_3",1.10418733396528e-51
"42","Carriageway_Hazards_6",7.31229788567932e-10
"43","Road_Type_1",0.179490624447009
"44","Road_Type_2",0.109295297629787
"45","Road_Type_3",4.20415058790064e-06
"46","Road_Type_6",8.24539248522078e-11
"47","Road_Type_7",0.369479900792808
"48","Road_Surface_1",0.107973574237534
"49","Road_Surface_2",0.0068310787153941
"50","Road_Surface_3",0.0911327653754341
"51","Road_Surface_4",0.0109894371337102
"52","Light_Conditions_1",0.0275768068967754
"53","Light_Conditions_4",2.57394157900965e-16
"54","Light_Conditions_5",0.168084511757754
"55","Light_Conditions_6",7.16799339600365e-21
"56","Weather_1",1.98546682136063e-73
"57","Weather_2",2.80288623763824e-36
"58","Weather_3",1.63922181856541e-08
"59","Weather_4",9.42304744698302e-35
"60","Weather_5",7.29649100943672e-17
"61","Weather_6",2.7183110510282e-05
"62","Weather_7",2.94963039638223e-15
"63","Weather_8",1.62191317648898e-16
