"","Variable","Coefficient","Abs_Coefficent"
"1","(Intercept)",5.36307453010555,5.36307453010555
"2","Special_Conditions_at_Site_3",-0.312029937181498,0.312029937181498
"3","Carriageway_Hazards_3",-0.303727256622455,0.303727256622455
"4","Carriageway_Hazards_7",0.281873206556856,0.281873206556856
"5","Special_Conditions_at_Site_1",-0.23873683927122,0.23873683927122
"6","Special_Conditions_at_Site_7",0.22882092434593,0.22882092434593
"7","Junction_Detail_1",0.217843047541684,0.217843047541684
"8","Day_of_Week_1",-0.204545742761368,0.204545742761368
"9","Weather_9",0.182575111048968,0.182575111048968
"10","Urban_or_Rural_Area_1",0.169432993648162,0.169432993648162
"11","Road_Surface_4",0.169374041571216,0.169374041571216
"12","Light_Conditions_1",0.163629856188249,0.163629856188249
"13","Junction_Detail_6",-0.156496978087099,0.156496978087099
"14","Day_of_Week_7",-0.150939646339291,0.150939646339291
"15","Special_Conditions_at_Site_2",-0.127536065478685,0.127536065478685
"16","Pedestrian_Crossing.Physical_Facilities_7",-0.125864304570142,0.125864304570142
"17","Pedestrian_Crossing.Physical_Facilities_8",-0.125846110299977,0.125846110299977
"18","Road_Surface_3",0.122514495225549,0.122514495225549
"19","Light_Conditions_7",0.122274168852906,0.122274168852906
"20","Road_Type_2",0.12058831072316,0.12058831072316
"21","Light_Conditions_5",0.115797295414191,0.115797295414191
"22","Pedestrian_Crossing.Physical_Facilities_1",0.108847614914952,0.108847614914952
"23","Special_Conditions_at_Site_6",-0.10833010512393,0.10833010512393
"24","Road_Type_7",0.104360094808216,0.104360094808216
"25","Urban_or_Rural_Area_3",0.0976528259403945,0.0976528259403945
"26","Junction_Detail_5",0.0953622177099246,0.0953622177099246
"27","Carriageway_Hazards_1",0.0916736393736001,0.0916736393736001
"28","Junction_Detail_7",-0.0868938197100858,0.0868938197100858
"29","X1st_Road_Class_3",-0.0866844458811972,0.0866844458811972
"30","Road_Type_9",0.0794349218227612,0.0794349218227612
"31","X1st_Road_Class_4",-0.073806315565505,0.073806315565505
"32","Road_Type_1",0.0578597909852205,0.0578597909852205
"33","X1st_Road_Class_2",-0.0573133276925544,0.0573133276925544
"34","Pedestrian_Crossing.Physical_Facilities_5",0.0525574779528798,0.0525574779528798
"35","Special_Conditions_at_Site_5",0.0501833639357013,0.0501833639357013
"36","X1st_Road_Class_1",0.0451763869249853,0.0451763869249853
"37","Day_of_Week_4",0.0412942748989643,0.0412942748989643
"38","Road_Type_6",-0.0390058941704539,0.0390058941704539
"39","X1st_Road_Class_6",0.03822537978944,0.03822537978944
"40","Weather_1",-0.0373921072441203,0.0373921072441203
"41","Weather_8",0.0370536419498679,0.0370536419498679
"42","Weather_4",-0.0327099433314481,0.0327099433314481
"43","Road_Surface_2",-0.0316543358356142,0.0316543358356142
"44","Weather_3",0.0302168610117768,0.0302168610117768
"45","Pedestrian_Crossing.Human_Control_2",0.0292853212355264,0.0292853212355264
"46","Pedestrian_Crossing.Human_Control_0",-0.0283489647274196,0.0283489647274196
"47","Day_of_Week_3",0.025547629114663,0.025547629114663
"48","Day_of_Week_5",0.0187718543229678,0.0187718543229678
"49","Light_Conditions_6",-0.0181746779488177,0.0181746779488177
"50","Carriageway_Hazards_2",0.0169829166841205,0.0169829166841205
"51","Junction_Detail_0",-0.0163967730450428,0.0163967730450428
"52","Pedestrian_Crossing.Physical_Facilities_0",-0.0163373199547039,0.0163373199547039
"53","Junction_Detail_8",0.0147925435389593,0.0147925435389593
"54","Urban_or_Rural_Area_2",-0.014440963516551,0.014440963516551
"55","Weather_6",-0.0137532580490392,0.0137532580490392
"56","Speed_limit",-0.0117765652819353,0.0117765652819353
"57","Special_Conditions_at_Site_4",0.00837833968559188,0.00837833968559188
"58","Day_of_Week_6",-0.00768350134036165,0.00768350134036165
"59","Carriageway_Hazards_0",-0.00578900597816171,0.00578900597816171
"60","Weather_5",0.00293670522089048,0.00293670522089048
"61","X1st_Road_Class_5",0.00220616371448994,0.00220616371448994
"62","Road_Surface_5",0.00211087408511223,0.00211087408511223
"63","Weather_7",7.99579355537277e-05,7.99579355537277e-05
"64","Day_of_Week_2",0,0
"65","Junction_Detail_2",0,0
"66","Junction_Detail_3",0,0
"67","Junction_Detail_9",0,0
"68","Pedestrian_Crossing.Human_Control_1",0,0
"69","Pedestrian_Crossing.Physical_Facilities_4",0,0
"70","Special_Conditions_at_Site_0",0,0
"71","Carriageway_Hazards_6",0,0
"72","Road_Type_3",0,0
"73","Road_Surface_1",0,0
"74","Light_Conditions_4",0,0
"75","Weather_2",0,0
