"","Length","Class","Mode"
"call","        7","-none-","call"
"type","        1","-none-","character"
"predicted","    27671","-none-","numeric"
"mse","     1000","-none-","numeric"
"rsq","     1000","-none-","numeric"
"oob.times","    27671","-none-","numeric"
"importance","       26","-none-","numeric"
"importanceSD","       13","-none-","numeric"
"localImportance","        0","-none-","NULL"
"proximity","765684241","-none-","numeric"
"ntree","        1","-none-","numeric"
"mtry","        1","-none-","numeric"
"forest","        0","-none-","NULL"
"coefs","        0","-none-","NULL"
"y","    27671","-none-","numeric"
"test","        0","-none-","NULL"
"inbag","        0","-none-","NULL"
"terms","        3","terms","call"
