"","%IncMSE","IncNodePurity","Var.Names"
"X1st_Road_Class",55.2793497770266,1172.34466763818,"X1st_Road_Class"
"Urban_or_Rural_Area",143.875850921971,693.340229396661,"Urban_or_Rural_Area"
"Day_of_Week",28.8550405226675,1853.68752262391,"Day_of_Week"
"Junction_Detail",85.3989102798909,1586.72207285087,"Junction_Detail"
"Pedestrian_Crossing.Human_Control",-11.4868909918004,79.9595500805742,"Pedestrian_Crossing.Human_Control"
"Pedestrian_Crossing.Physical_Facilities",34.2686819293036,792.651577987053,"Pedestrian_Crossing.Physical_Facilities"
"Special_Conditions_at_Site",18.4246270586377,451.579981996138,"Special_Conditions_at_Site"
"Carriageway_Hazards",8.20492942051152,364.329062129065,"Carriageway_Hazards"
"Speed_limit",175.911555560088,1553.29715390089,"Speed_limit"
"Road_Type",92.0844560677492,780.95044021316,"Road_Type"
"Road_Surface",61.2808022490556,783.234842608627,"Road_Surface"
"Light_Conditions",75.0353530317829,851.991242177813,"Light_Conditions"
"Weather",71.2595349865922,1260.24136732263,"Weather"
